2023-01-16T13:23:12 | error | Error al conectarse a la BD sequelize is not defined
2023-01-16T13:23:12 | info | 🐈 Servidor corriendo en: 🔥 http://localhost:4000/,se inicializo en: development a las: Mon Jan 16 2023 13:23:12 GMT-0600 (Central Standard Time)
2023-01-16T13:23:30 | info | Conexion establecida!!!
2023-01-16T13:23:41 | info | Conexion establecida!!!
2023-01-16T13:23:43 | info | Conexion establecida!!!
2023-01-16T13:23:45 | info | Conexion establecida!!!
2023-01-16T13:23:47 | info | Conexion establecida!!!
2023-01-16T13:23:50 | info | Conexion establecida!!!
2023-01-16T13:23:52 | info | Conexion establecida!!!
2023-01-16T13:23:53 | info | Conexion establecida!!!
2023-01-16T13:23:55 | info | Conexion establecida!!!
2023-01-16T13:23:58 | info | Conexion establecida!!!
